,1,2,3,4,5,6,7,8,9
1,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2,12% ICFC Finance Limited Debenture 2083,1,1049.00,1049.00,1049.00,100.00,104900.00,1070.40,-21.40
3,8.5% Nepal Investment Bank Debenture 2084,2,848.00,847.70,847.70,25.00,21197.00,849.00,-1.30
4,9% NIC Asia Debenture 2081/82,1,944.00,944.00,944.00,10000.00,9500000.00,944.00,0.00
5,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,15,946.50,900.00,915.00,179.00,163927.00,910.00,5.00
6,Agricultural Development Bank Limited,94,366.00,360.00,364.00,5095.00,1850894.50,365.80,-1.80
7,Ajod Insurance Limited,74,564.00,545.00,545.00,2600.00,1432212.00,563.00,-18.00
8,Ankhu Khola Jalvidhyut Company Ltd,120,239.00,231.00,234.00,14524.00,3391406.90,235.00,-1.00
9,Api Power Company Ltd.,382,307.00,295.00,299.00,89137.00,26795635.30,298.00,1.00
10,Arun Kabeli Power Ltd.,469,473.00,457.00,466.00,64809.00,30245507.00,461.00,5.00
11,Arun Valley Hydropower Development Co. Ltd.,328,420.00,405.00,410.00,54663.00,22460136.70,413.00,-3.00
12,Asha Laghubitta Bittiya Sanstha Ltd,18,1324.00,1286.00,1300.00,497.00,648499.00,1305.00,-5.00
13,Asian Life Insurance Co. Limited,236,642.00,608.00,609.00,22892.00,14159150.40,630.00,-21.00
14,Bank of Kathmandu Ltd.,89,240.00,232.50,235.00,11016.00,2585637.90,235.50,-0.50
15,Barun Hydropower Co. Ltd.,120,494.00,473.00,479.00,12355.00,5928205.20,482.00,-3.00
16,Best Finance Company Ltd.,81,406.80,392.00,394.00,8432.00,3347343.10,400.00,-6.00
17,Bishal Bazar Company Limited,9,3814.00,3725.00,3749.90,120.00,449997.00,3740.00,9.90
18,Bottlers Nepal (Terai) Limited,13,14908.30,14655.00,14680.00,170.00,2526206.00,14616.00,64.00
19,Buddha Bhumi Nepal Hydropower Company Limited,52,456.70,431.50,440.00,2502.00,1101054.50,439.10,0.90
20,Butwal Power Company Limited,45,370.00,364.00,366.00,3529.00,1293044.00,364.00,2.00
21,CEDB Hydropower Development Company Limited,70,747.00,735.00,746.00,3324.00,2460738.10,750.00,-4.00
